,Subject,RAW,AJDC,ICA
0,sub-S002,-0.01629757969648983,-0.017998398215752574,-0.018010965584858034
1,sub-S003,-0.24503474978279954,-0.24443044849916837,-0.24571781252118155
2,sub-S004,-0.034239150459681074,-0.03118666703039369,-0.028407369265258612
3,sub-S005,-0.11677584450805299,-0.1275935234573484,-0.11581560739878236
4,sub-S006,-0.10676602596038524,-0.11488685744950343,-0.10681626740310955
5,sub-S007,-0.10764747768372256,-0.09026207547308915,-0.08132668268485099
6,sub-S008,-0.13489770135329873,-0.12347746356394113,-0.12948491371919155
7,sub-S011,-0.13694062774894783,-0.14000586996178266,-0.13706451186066937
8,sub-S012,-0.09601928950901624,-0.08859066349272682,-0.09509985095412125
9,sub-S013,-0.12025470301249602,-0.11975471640946554,-0.11591887520961745
10,sub-S014,-0.1899648747963507,-0.18689820411233546,-0.19543456317961144
11,sub-S015,-0.15978068871332235,-0.15787132712779217,-0.15754803342099763
12,sub-S016,-0.12457120942509355,-0.12349841047626879,-0.12408797577027912
13,sub-S017,-0.06591304251839417,-0.053317538318531865,-0.04733940911523645
14,sub-S018,-0.20027590372016957,-0.20486661945146029,-0.19952218809098507
15,sub-S019,-0.23213051221765804,-0.23916718565000553,-0.2333443863386566
16,sub-S020,-0.03412944704083754,-0.028418287019865516,-0.021538693113379182
17,sub-S021,-0.16879309116928443,-0.1617137857659548,-0.16634423515789526
18,sub-S022,-0.281067367158113,-0.2756079329383189,-0.2784964525708867
19,sub-S023,-0.15624041095649321,-0.16088164485941536,-0.15610567523018531
20,sub-S024,-0.22442583346019673,-0.22125733237653747,-0.22259689412990158
