,Subject,Electrode,Frequency,PSD
0,1,1,1,4.805045687307398e-09
1,1,1,2,4.521964151873759e-09
2,1,1,3,3.3147029063631462e-09
3,1,1,4,3.1569117901339416e-09
4,1,1,5,1.9997505635263295e-09
5,1,1,6,1.4604833981681603e-09
6,1,1,7,1.1607890111542478e-09
7,1,1,8,9.045674528353786e-10
8,1,1,9,7.042729814099335e-10
9,1,1,10,5.530385789815293e-10
10,1,1,11,4.33440764759772e-10
11,1,1,12,3.5084546872279443e-10
12,1,1,13,3.001445680710549e-10
13,1,1,14,2.6140792328812784e-10
14,1,1,15,2.1892219024412614e-10
15,1,1,16,1.8844082835521864e-10
16,1,1,17,1.6781760535664502e-10
17,1,1,18,1.5792870781361935e-10
18,1,1,19,1.5356414831453323e-10
19,1,1,20,1.477524741524119e-10
20,1,1,21,1.4469720036372627e-10
21,1,1,22,1.4017770541324978e-10
22,1,1,23,1.3898034379538187e-10
23,1,1,24,1.3648093772618387e-10
24,1,1,25,1.3502855171910194e-10
25,1,1,26,1.361008271820799e-10
26,1,1,27,1.364561659207453e-10
27,1,1,28,1.3418571422190149e-10
28,1,1,29,1.299957620415291e-10
29,1,1,30,1.2735075355663653e-10
30,1,1,31,1.2463732156469668e-10
31,1,1,32,1.2105189470710173e-10
32,1,1,33,1.1429879322281629e-10
33,1,1,34,1.1144824445713844e-10
34,1,1,35,1.0984883030008885e-10
35,1,1,36,1.1096299070438187e-10
36,1,1,37,1.1192985304908688e-10
37,1,1,38,1.1258856808669015e-10
38,1,1,39,1.1344719616180183e-10
39,1,1,40,1.1503786952446469e-10
40,1,1,41,1.1634615717516507e-10
41,1,1,42,1.1612576931621159e-10
42,1,1,43,1.1985167971587327e-10
43,1,1,44,1.184434710493026e-10
44,1,1,45,1.181016032476245e-10
45,1,1,46,1.1441260333887119e-10
46,1,1,47,1.0448537010300603e-10
47,1,1,48,1.0184288301556135e-10
48,1,1,49,1.0071008698949356e-10
49,1,1,50,9.734676993545339e-11
50,1,1,51,9.565077261017748e-11
51,1,1,52,9.489800474112276e-11
52,1,1,53,9.515123979521917e-11
53,1,1,54,1.0297752751758935e-10
54,1,1,55,1.0545627750029526e-10
55,1,1,56,1.0434953904137908e-10
56,1,1,57,1.0274008109639721e-10
57,1,1,58,9.956693333088333e-11
58,1,1,59,9.68062983290552e-11
59,1,1,60,9.531807723740277e-11
60,1,1,61,9.231102070751872e-11
61,1,1,62,9.029976020657511e-11
62,1,1,63,8.848312821594961e-11
63,1,1,64,8.954808201421538e-11
64,1,1,65,8.86292561807824e-11
65,1,1,66,8.741965413261289e-11
66,1,1,67,8.856120721128466e-11
67,1,1,68,8.870183026071558e-11
68,1,1,69,8.768502963245991e-11
69,1,1,70,8.693064782832039e-11
70,1,1,71,8.750336000320155e-11
71,1,1,72,8.580896937418481e-11
72,1,1,73,8.418043311684616e-11
73,1,1,74,8.373335249582713e-11
74,1,1,75,8.396169659899335e-11
75,1,1,76,8.271837221635509e-11
76,1,1,77,8.294456370380766e-11
77,1,1,78,8.15041699726943e-11
78,1,1,79,8.155208770830825e-11
79,1,1,80,8.062502683959978e-11
80,1,2,1,2.798477422892095e-09
81,1,2,2,2.541033769120251e-09
82,1,2,3,1.8455424639947284e-09
83,1,2,4,1.6135476849915927e-09
84,1,2,5,7.654783575812848e-10
85,1,2,6,4.673016419126198e-10
86,1,2,7,3.474872705202623e-10
87,1,2,8,2.9556464986242187e-10
88,1,2,9,2.576087831147763e-10
89,1,2,10,2.3187147671863112e-10
90,1,2,11,2.0278919121634393e-10
