,Subject,Electrode,Frequency,PSD
0,1,1,1,1.139533323986778e-08
1,1,1,2,1.0546153958889547e-08
2,1,1,3,7.53768764383214e-09
3,1,1,4,7.087734979102028e-09
4,1,1,5,4.5135072537199404e-09
5,1,1,6,2.9326953758587712e-09
6,1,1,7,2.2364896797374837e-09
7,1,1,8,1.7351335160162634e-09
8,1,1,9,1.3727162123337983e-09
9,1,1,10,1.104265795977462e-09
10,1,1,11,9.042933140867237e-10
11,1,1,12,7.42112746017388e-10
12,1,1,13,6.33788632966329e-10
13,1,1,14,5.436415564170427e-10
14,1,1,15,4.464211613227885e-10
15,1,1,16,3.784874633926523e-10
16,1,1,17,3.2905265319705176e-10
17,1,1,18,3.0802171407444706e-10
18,1,1,19,2.9885993237738764e-10
19,1,1,20,2.8945552580602906e-10
20,1,1,21,2.8821220974582177e-10
21,1,1,22,2.7966785508191656e-10
22,1,1,23,2.783535766017975e-10
23,1,1,24,2.779005173648739e-10
24,1,1,25,2.7600130515183086e-10
25,1,1,26,2.7996070157002375e-10
26,1,1,27,2.796189494419795e-10
27,1,1,28,2.7008395341047836e-10
28,1,1,29,2.56898137211942e-10
29,1,1,30,2.4871112771164354e-10
30,1,1,31,2.3816241194810486e-10
31,1,1,32,2.2721387572904399e-10
32,1,1,33,2.1241126433424182e-10
33,1,1,34,2.011909535206113e-10
34,1,1,35,1.964097537789308e-10
35,1,1,36,1.9860822994146327e-10
36,1,1,37,2.021980408227875e-10
37,1,1,38,2.0692522768178066e-10
38,1,1,39,2.0957210552423812e-10
39,1,1,40,2.1532652872738348e-10
40,1,1,41,2.155130116762593e-10
41,1,1,42,2.1718696889672513e-10
42,1,1,43,2.232935699512501e-10
43,1,1,44,2.241475438257937e-10
44,1,1,45,2.2322223744169335e-10
45,1,1,46,2.1685349851546553e-10
46,1,1,47,1.963966996371839e-10
47,1,1,48,1.9437306079610698e-10
48,1,1,49,1.9125878056238533e-10
49,1,1,50,1.8477776065004555e-10
50,1,1,51,1.8255565516371581e-10
51,1,1,52,1.8010354721528964e-10
52,1,1,53,1.8298641311065347e-10
53,1,1,54,2.0094666537755767e-10
54,1,1,55,2.056360836690896e-10
55,1,1,56,2.0524987338522782e-10
56,1,1,57,2.0097382964702438e-10
57,1,1,58,1.9662967270020993e-10
58,1,1,59,1.9302471010623518e-10
59,1,1,60,1.909400872684977e-10
60,1,1,61,1.8647952107253512e-10
61,1,1,62,1.837720808207216e-10
62,1,1,63,1.821345400390477e-10
63,1,1,64,1.8393755303699295e-10
64,1,1,65,1.8145068413246536e-10
65,1,1,66,1.7835018524483942e-10
66,1,1,67,1.7619232992091417e-10
67,1,1,68,1.7533046481553558e-10
68,1,1,69,1.7322352308155259e-10
69,1,1,70,1.7101281057231434e-10
70,1,1,71,1.723780526466628e-10
71,1,1,72,1.7103747368254438e-10
72,1,1,73,1.694678362970499e-10
73,1,1,74,1.6623083768682933e-10
74,1,1,75,1.6712428756976765e-10
75,1,1,76,1.6649673779887593e-10
76,1,1,77,1.6600845580124643e-10
77,1,1,78,1.6418018993089885e-10
78,1,1,79,1.6352145781426016e-10
79,1,1,80,1.607335830446873e-10
80,1,2,1,1.131184725087592e-08
81,1,2,2,1.0205295100489753e-08
82,1,2,3,7.21148110909579e-09
83,1,2,4,6.586638612527864e-09
84,1,2,5,4.013986012129922e-09
85,1,2,6,2.2677253435335914e-09
86,1,2,7,1.4074527399830578e-09
87,1,2,8,9.635687637249397e-10
88,1,2,9,7.136355911136429e-10
89,1,2,10,5.743345500241718e-10
90,1,2,11,4.905859550304137e-10
91,1,2,12,4.3450473479186466e-10
92,1,2,13,3.8809377322210386e-10
93,1,2,14,3.3608680083376367e-10
94,1,2,15,2.746555670869504e-10
95,1,2,16,2.292121543360167e-10
96,1,2,17,1.9837579896444271e-10
97,1,2,18,1.8587672531813472e-10
98,1,2,19,1.8037199384086458e-10
99,1,2,20,1.7618756498094868e-10
100,1,2,21,1.7199558940181904e-10
101,1,2,22,1.6442185301622302e-10
102,1,2,23,1.6089105088356396e-10
103,1,2,24,1.5424150190393895e-10
104,1,2,25,1.4696844879120815e-10
105,1,2,26,1.456446656859823e-10
106,1,2,27,1.4352435744057546e-10
107,1,2,28,1.376563009624314e-10
108,1,2,29,1.2973947929921335e-10
109,1,2,30,1.2462047568166822e-10
110,1,2,31,1.1968847201626384e-10
111,1,2,32,1.1155841615730312e-10
112,1,2,33,1.0386371691966199e-10
113,1,2,34,9.61274343243559e-11
114,1,2,35,9.274649810495859e-11
115,1,2,36,9.443920095215403e-11
116,1,2,37,9.64732304625126e-11
117,1,2,38,9.968716133320735e-11
118,1,2,39,1.0185951063766982e-10
119,1,2,40,1.0573446568411229e-10
120,1,2,41,1.0697133684390062e-10
121,1,2,42,1.0797980162856075e-10
