,Subject,RelativeTime,Electrode,SNR,Electrode_Name,Region
0,sub-S002,1,1,17.84708338412666,Fp1,Frontal
1,sub-S002,1,2,19.115701868048546,Fp2,Frontal
2,sub-S002,1,3,9.269235957166114,F7,Frontal
3,sub-S002,1,4,35.220418787923315,F3,Frontal
4,sub-S002,1,5,16.516062618914514,Fz,Frontal
5,sub-S002,1,6,16.052488517836156,F4,Frontal
6,sub-S002,1,7,21.994083840845317,F8,Frontal
7,sub-S002,1,8,21.777384617790524,FT10,Central
8,sub-S002,1,9,19.905369312728503,T7,Central
9,sub-S002,1,10,17.978010312745507,T8,Central
10,sub-S002,1,11,21.825036954351923,TP10,Central
11,sub-S002,1,12,21.991635647844273,FC5,Central
12,sub-S002,1,13,7.1311136796014,FC1,Central
13,sub-S002,1,14,24.96989847007519,FC2,Central
14,sub-S002,1,15,9.132514985983414,FC6,Central
15,sub-S002,1,16,16.313086091489925,C3,Central
16,sub-S002,1,17,20.87721781055002,Cz,Central
17,sub-S002,1,18,10.52121998062087,C4,Central
18,sub-S002,1,19,19.87658922418084,CP5,Central
19,sub-S002,1,20,8.453885391937526,CP1,Central
20,sub-S002,1,21,27.700308896767485,CP2,Central
21,sub-S002,1,22,22.246307504322488,CP6,Central
22,sub-S002,1,23,5.8484796900651475,P7,Posterior
23,sub-S002,1,24,12.717574411333679,P3,Posterior
24,sub-S002,1,25,17.87886400524258,Pz,Posterior
25,sub-S002,1,26,9.339561575656708,P4,Posterior
26,sub-S002,1,27,22.12423510914907,P8,Posterior
27,sub-S002,1,28,10.21645257384207,O1,Posterior
28,sub-S002,1,29,0.02840792271161608,Oz,Posterior
29,sub-S002,1,30,11.834760769158493,O2,Posterior
30,sub-S002,2,1,13.03523320161572,Fp1,Frontal
31,sub-S002,2,2,20.363989983638298,Fp2,Frontal
32,sub-S002,2,3,16.414419840063882,F7,Frontal
33,sub-S002,2,4,35.533055195981696,F3,Frontal
34,sub-S002,2,5,16.183248757087608,Fz,Frontal
